,station_num,lon,lat,height
0,10317,123.7333,12.2,32.0
1,53392,114.56028,41.86,1434.5
2,53397,113.98333,41.1,1376.5
3,53399,114.7,41.15,1393.3
4,53491,114.37861,40.67528,837.7
5,53492,114.15,40.1,937.6
6,53498,115.03333,40.56667,629.3
7,53499,114.73333,40.76667,755.2
8,53593,114.56667,39.83333,909.5
9,53595,113.78333,38.71667,1368.2
10,53595,113.78333,38.71667,1368.2
11,53596,115.15639,38.90944,80.7
12,53599,114.68333,39.36667,884.4
13,53680,114.38333,38.3,108.9
14,53682,114.68333,38.63333,104.1
15,53688,114.54639,38.41861,100.3
16,53689,115.06667,38.01667,42.4
17,53690,114.18333,38.85,281.9
18,53691,114.56667,38.15,71.0
19,53692,114.98333,38.73333,66.5
20,53693,114.13333,38.03333,255.5
21,53694,114.21667,38.26667,131.0
22,53695,114.68333,38.35,70.8
23,53696,115.01222,38.54222,41.9
24,53697,114.83333,38.03333,53.5
25,53698,114.39889,38.01972,89.3
26,53699,114.95,38.18333,45.4
27,53773,114.61667,36.33333,64.6
28,53781,114.46667,36.86667,67.9
29,53784,114.78333,37.75,38.5
30,53785,114.66667,37.51667,35.0
31,53789,114.63333,37.88333,52.9
32,53790,114.60778,37.63472,44.5
33,53791,114.49972,37.80667,68.4
34,53792,114.48333,37.45,113.0
35,53793,113.95,37.16667,490.3
36,53793,113.95,37.17,490.3
37,53794,114.78417,37.39028,31.0
38,53795,114.40583,37.65806,159.3
39,53796,114.89139,37.61778,30.6
40,53797,114.38667,37.29083,163.6
41,53798,114.36667,37.18333,183.0
42,53799,114.99889,37.23778,25.9
43,53883,114.7,37.13333,36.5
44,53886,113.66667,36.56667,470.4
45,53890,114.1,36.66667,280.1
46,53891,114.68333,37.01667,43.0
47,53892,114.46667,36.61667,66.6
48,53893,115.005,36.78889,37.9
49,53894,114.2,36.4,149.3
50,53895,114.45583,36.7475,111.2
51,53896,114.94944,36.32778,51.6
52,53897,114.34278,36.40056,87.4
53,53899,114.96667,36.48333,48.5
54,53980,114.8,36.55,50.2
55,53996,114.65,36.45,57.9
56,54301,115.65167,41.67167,1411.2
57,54304,115.26972,40.95417,1239.8
58,54308,116.63333,41.2,735.1
59,54311,117.76667,41.96667,892.7
60,54318,117.72778,41.34417,599.9
61,54319,118.66667,41.01,546.5
62,54398,116.62,40.13,28.6
63,54399,116.28,39.98,45.8
64,54401,114.91944,40.76944,772.8
65,54404,115.83333,40.88333,867.6
66,54405,115.5,40.41667,570.9
67,54406,115.97,40.45,487.9
68,54408,115.21667,40.38333,529.6
69,54410,116.13,40.6,1224.7
70,54412,116.63,40.73,331.6
71,54416,116.87,40.38,71.8
72,54418,117.585,38.5625,1.5
73,54418,117.59,38.58,1.5
74,54419,116.63,40.37,75.7
75,54420,117.33333,40.93333,529.0
76,54421,117.1167,40.65,293.3
77,54423,117.91667,40.96667,422.3
78,54424,117.12,40.17,32.1
79,54425,117.46667,40.4,633.2
80,54428,117.4,40.03,15.7
81,54429,117.95,40.2,54.9
82,54430,118.21222,40.77806,330.0
83,54431,116.63,39.92,43.3
84,54432,118.46806,40.61444,369.3
85,54433,116.5,39.95,35.3
86,54434,118.33361,40.17028,131.6
87,54436,118.95,40.41667,254.3
88,54437,118.62361,39.505,18.3
89,54438,118.88333,39.88333,65.0
90,54439,118.71,40.02389,50.9
91,54449,119.51667,39.85,2.4
92,54499,116.22,40.22,76.2
93,54501,115.68,39.97,440.3
94,54502,116.03333,39.48333,29.3
95,54503,115.81667,39.06667,12.8
96,54504,115.16,39.43,531.7
97,54504,115.16444,39.425,531.7
98,54505,116.1,39.93,98.0
99,54506,115.95,39.31667,24.6
100,54507,115.51667,39.33333,49.3
101,54508,115.48333,38.73333,16.8
102,54510,116.94639,39.9125,18.3
103,54511,116.47,39.8,31.3
104,54512,116.28333,39.41667,21.4
105,54513,116.2,39.95,65.6
106,54514,116.25,39.87,55.2
107,54515,116.7,39.5,13.7
108,54517,117.2,39.0667,2.2
109,54518,116.4,39.16667,8.9
110,54519,116.47667,39.30194,12.2
111,54520,117.08333,39.96667,18.1
112,54521,116.98917,39.6925,9.4
113,54522,117.73694,39.90944,17.8
114,54523,117.0167,39.3833,4.5
115,54525,117.28,39.73,5.1
116,54526,117.33,39.08,1.9
117,54527,117.05,39.08,3.5
118,54528,117.13,39.23,3.4
119,54529,117.8167,39.35,3.9
120,54530,117.77,39.23,1.3
121,54531,118.71667,39.73333,43.0
122,54532,118.07806,39.80806,31.6
123,54533,118.09167,39.58083,8.9
124,54534,118.1,39.65,23.2
125,54535,118.46583,39.28583,3.2
126,54537,118.49361,38.96889,2.9
127,54537,118.4833,38.9667,2.9
128,54538,118.45,39.1,2.2
129,54538,118.45,39.09,2.2
130,54539,118.88667,39.42917,8.5
131,54540,119.2,39.73333,17.6
132,54541,119.23333,39.9,24.3
133,54544,119.28,39.57,5.2
134,54544,119.27917,39.56833,5.2
135,54594,116.35,39.72,37.6
136,54596,116.2033,39.77,48.9
137,54597,115.73,39.73,407.7
138,54601,115.64333,38.98111,13.1
139,54602,115.48333,38.73333,16.8
140,54603,115.77278,38.70889,10.0
141,54604,115.29194,38.40472,31.0
142,54605,115.88333,38.93333,4.4
143,54606,115.74306,38.22306,17.9
144,54607,115.11417,38.70139,47.8
145,54608,115.55,38.0,26.1
146,54609,115.58694,38.23056,22.4
147,54610,116.1,38.73333,8.1
148,54611,115.31667,38.93333,44.8
149,54612,116.45583,38.84639,4.3
150,54613,116.61667,38.7,6.9
151,54614,116.05611,38.41972,10.9
152,54615,116.85,38.58333,8.0
153,54616,116.85,38.35,8.0
154,54617,116.17056,38.205,13.3
155,54618,116.55,38.08333,13.2
